"message_id","feat","avg(empathy.empathy)","avg(empathy.distress)","avg(empathy.empathy_bin)","avg(empathy.distress_bin)","test_fold"
"R_yJ6wfoQV0isjWBr_4","!","3.6658033","4.0546448","0.4809","0.5191","0"
"R_2ZHUXU5dQB2meI7_5","""","3.5441275","3.9301471","0.4608","0.5686","0"
"R_PA1EeRUe6I55jgd_4","#metoo","4.3330000","6.6250000","1.0000","1.0000","6"
"R_1pERSTMtylH2tus_5","$","3.4258889","2.6388889","0.4444","0.2222","0"
"R_3Hz9m3bA6uWT3YI_2","%","3.4583333","3.2083333","0.3333","0.2500","0"
"R_3R4lpvpSZKNYUCN_3","&","3.7000000","4.0000000","0.6000","0.6000","1"
"R_3mmXh2LU82nVg96_1","'","4.4223333","4.3666667","0.7333","0.6667","1"
"R_1IRRIFlrEvyBc83_2","(","3.7500000","3.9739583","0.5208","0.5625","0"
"R_1IRRIFlrEvyBc83_2",")","3.8014255","4.0239362","0.5319","0.5745","0"
"R_sXd7G0qsBBO5rup_3","*","3.8750000","3.4375000","0.7500","0.2500","2"
"R_3rPu02mAYdW61Xg_2",",","3.6811030","3.6818596","0.4923","0.4804","0"
"R_yJ6wfoQV0isjWBr_4","-","3.7385000","3.8663793","0.4655","0.5172","0"
"R_3rPu02mAYdW61Xg_2",".","3.6802149","3.7112156","0.4903","0.4782","0"
"R_3ffqM7eI6MDHtwo_1","..","3.7501000","4.6125000","0.4000","0.7000","0"
"R_1LhyOz9jrkIJQCi_3","...","3.2879394","3.3446970","0.3636","0.4848","0"
"R_1LhyOz9jrkIJQCi_3","....","2.5555556","2.5694444","0.2222","0.3333","0"
"R_1g7VoEtxvkSjfKS_4","/","3.0926111","3.5138889","0.3889","0.5556","0"
"R_BQYbCIHSznI2RkB_1","0","4.0000000","3.6250000","1.0000","0.0000","1"
"R_2EEQioTSv70RUzF_2","0.85","5.6670000","6.1250000","1.0000","1.0000","6"
"R_1Ca4HzZe2UzxzWV_5","000","5.8666000","3.6750000","1.0000","0.4000","2"
"R_3nPMcz25sBSaaD8_3","1","4.4166250","4.3281250","0.5000","0.5000","0"
"R_2EEQioTSv70RUzF_5","1,200-","7.0000000","6.1250000","1.0000","1.0000","7"
"R_1CwqF3XMcOybgIW_5","1,600","4.3330000","5.0000000","1.0000","1.0000","8"
"R_3j9u5KMZbQS89kp_2","1,800","4.0000000","3.7500000","1.0000","0.0000","2"
