"message_id","feat","avg(empathy.empathy)","avg(empathy.distress)","avg(empathy.empathy_bin)","avg(empathy.distress_bin)","test_fold"
"R_yJ6wfoQV0isjWBr_4","!","3.7463736","4.0975275","0.5000","0.5275","0"
"R_2ZHUXU5dQB2meI7_5","""","3.5617315","3.8645833","0.4722","0.5556","0"
"R_PA1EeRUe6I55jgd_4","#metoo","4.3330000","6.6250000","1.0000","1.0000","6"
"R_1pERSTMtylH2tus_5","$","3.5370000","2.6111111","0.4444","0.2222","0"
"R_3Hz9m3bA6uWT3YI_2","%","3.4583333","3.2083333","0.3333","0.2500","0"
"R_3R4lpvpSZKNYUCN_3","&","3.7000000","4.0000000","0.6000","0.6000","1"
"R_3mmXh2LU82nVg96_1","'","4.0926667","3.7291667","0.6111","0.5000","1"
"R_1IRRIFlrEvyBc83_2","(","3.7127872","4.0079787","0.5319","0.5745","0"
"R_1IRRIFlrEvyBc83_2",")","3.7645217","4.0597826","0.5435","0.5870","0"
"R_sXd7G0qsBBO5rup_3","*","3.8750000","3.4375000","0.7500","0.2500","2"
"R_3rPu02mAYdW61Xg_2",",","3.6598741","3.7009737","0.4909","0.4846","0"
"R_yJ6wfoQV0isjWBr_4","-","3.8044808","3.9591346","0.4615","0.5192","0"
"R_3rPu02mAYdW61Xg_2",".","3.6691295","3.7270973","0.4899","0.4832","0"
"R_3ffqM7eI6MDHtwo_1","..","4.1212727","4.7159091","0.5455","0.8182","0"
"R_1LhyOz9jrkIJQCi_3","...","2.9506667","3.0694444","0.2963","0.4074","0"
"R_1LhyOz9jrkIJQCi_3","....","2.4000000","2.4125000","0.2000","0.3000","0"
"R_1g7VoEtxvkSjfKS_4","/","3.0595714","3.6250000","0.3571","0.5714","0"
"R_BQYbCIHSznI2RkB_1","0","4.0000000","3.6250000","1.0000","0.0000","1"
"R_2EEQioTSv70RUzF_2","0.85","5.6670000","6.1250000","1.0000","1.0000","6"
"R_1Ca4HzZe2UzxzWV_5","000","5.0276667","3.0833333","0.8333","0.3333","2"
"R_3nPMcz25sBSaaD8_3","1","4.4166250","4.3281250","0.5000","0.5000","0"
"R_1CwqF3XMcOybgIW_5","1,600","4.3330000","5.0000000","1.0000","1.0000","8"
"R_3j9u5KMZbQS89kp_2","1,800","4.0000000","3.7500000","1.0000","0.0000","2"
"R_2xIXWgIt65WqCB5_2","1.3","5.9446667","5.8750000","1.0000","1.0000","0"
"R_3Jw9WNCBWRV66DT_3","1.4","4.3330000","5.0000000","1.0000","1.0000","3"
"R_1OPuFFg74ePvEHb_2","10","4.3667000","5.1750000","0.8000","0.9000","0"
"R_ROAxUwdU6WcMHdf_1","10,000","5.5000000","5.2500000","1.0000","1.0000","5"
"R_3eaFPz1YPhmUqzt_2","10-15","1.0000000","6.0000000","0.0000","1.0000","0"
"R_3oTOlb2UT21kncA_4","10-month-old","5.6670000","5.7500000","1.0000","1.0000","2"
"R_1OPuFFg74ePvEHb_4","100","4.5555000","4.8854167","0.6667","0.7500","0"
"R_25vCdsEDRhPJ3w3_2","1000s","4.1670000","5.8750000","1.0000","1.0000","5"
"R_2xJcBbmJq6tC50y_2","101","2.8330000","4.2500000","0.0000","1.0000","4"
"R_2CEwmOXgqGtctrt_2","11","1.0000000","5.0000000","0.0000","1.0000","6"
"R_Adi1QVd9hfOBDNf_4","12","7.0000000","7.0000000","1.0000","1.0000","8"
"R_3oTOlb2UT21kncA_5","12-year-old","5.5000000","5.7500000","1.0000","1.0000","6"
"R_2AShlPLXEZW4TNc_3","1200","4.6670000","1.8750000","1.0000","0.0000","2"
"R_1rftZXLZ8DysqyC_4","122","1.5000000","4.3750000","0.0000","1.0000","8"
"R_CaD7yFl7q5MrzCp_1","13","3.6665000","5.7500000","0.5000","1.0000","0"
"R_1OPuFFg74ePvEHb_4","13,000","6.2500000","6.0625000","1.0000","1.0000","0"
"R_1DZ3upqcIzFhtH3_4","13,300","5.0000000","3.6250000","1.0000","0.0000","3"
"R_1pERSTMtylH2tus_2","130","4.8890000","4.4166667","0.6667","0.6667","1"
"R_1OPuFFg74ePvEHb_2","14","3.9000000","3.9500000","0.6000","0.6000","0"
"R_Cf3oaCWH23zMSdj_1","1400","5.6670000","3.0000000","1.0000","0.0000","1"
"R_qxegiSp0tG2ayxb_4","1400miles","6.5000000","5.6250000","1.0000","1.0000","4"
"R_31Et1v2rps9wNSQ_3","15","3.3890000","5.2916667","0.3333","1.0000","6"
"R_ROAxUwdU6WcMHdf_2","150","5.3330000","5.5000000","1.0000","1.0000","5"
"R_1rfDsNtkx9ueNuH_4","16","4.6670000","5.1250000","1.0000","1.0000","2"
"R_1OPuFFg74ePvEHb_4","16-year","6.2500000","6.0625000","1.0000","1.0000","0"
"R_3oTOlb2UT21kncA_5","16-year-old","5.5000000","5.7500000","1.0000","1.0000","6"
"R_OPS9EZNTzb221uF_3","17","3.3330000","3.3750000","0.0000","0.0000","2"
"R_2xJIlWl26lfyw8n_1","1750","4.5000000","5.5000000","1.0000","1.0000","5"
"R_sYY3M27k4zjwPfz_3","175lbs","7.0000000","6.7500000","1.0000","1.0000","6"
"R_3KDPGjpoRqJxdFY_1","18","4.5000000","6.7500000","1.0000","1.0000","1"
"R_3npi2r9WK3X6C5j_3","18,000","5.3330000","4.6250000","1.0000","1.0000","5"
"R_57k7MIpd4IfEJ8d_4","18-year-old","4.1670000","5.0000000","1.0000","1.0000","1"
"R_3npi2r9WK3X6C5j_3","180","5.3330000","4.6250000","1.0000","1.0000","5"
"R_b9PntTdyM0vgfbb_5","1800's","6.0000000","6.0000000","1.0000","1.0000","0"
"R_1OPuFFg74ePvEHb_4","19","6.4334000","6.1000000","1.0000","1.0000","0"
"R_1DDb7pcl8PkL7Rz_1","1925","3.0000000","4.5000000","0.0000","1.0000","6"
"R_2ASfOpichWeulMF_3","1947","2.3335000","3.2500000","0.0000","0.5000","5"
"R_3oA99lmBLFDBvnj_2","1950","7.0000000","7.0000000","1.0000","1.0000","3"
"R_SJmBO1u0DDmEZH3_2","1960","4.3330000","5.2500000","1.0000","1.0000","2"
"R_31FSDThjiQYih8p_4","1960s","1.0000000","1.0000000","0.0000","0.0000","3"
"R_3R4lpvpSZKNYUCN_3","1966","4.5000000","5.0000000","1.0000","1.0000","1"
"R_3qmvHJGYLWOgccV_4","1969","3.5000000","2.8750000","0.0000","0.0000","3"
"R_1eQAOZUF4OeFfld_3","1993","4.1670000","3.7500000","1.0000","0.0000","4"
"R_2pVLOa7aDX0ZdAl_2","1996","2.9170000","6.3750000","0.5000","1.0000","1"
"R_1OPuFFg74ePvEHb_4","1997","6.2500000","6.0625000","1.0000","1.0000","0"
"R_5jRlP3nKHGclOFj_4","1998","5.8330000","6.0000000","1.0000","1.0000","1"
"R_1OPuFFg74ePvEHb_4","1999","5.5000000","5.1250000","1.0000","1.0000","0"
"R_2EEQioTSv70RUzF_2","19th","5.6670000","6.1250000","1.0000","1.0000","6"
"R_1jl9vLqdDRf4Epg_1","2","3.8666000","3.8000000","0.5333","0.5333","0"
"R_1CwqF3XMcOybgIW_5","2,000","2.6665000","3.6250000","0.5000","0.5000","8"
"R_2AShlPLXEZW4TNc_3","2-day-old","4.6670000","1.8750000","1.0000","0.0000","2"
"R_3npi2r9WK3X6C5j_5","2.2","4.3330000","4.3750000","1.0000","1.0000","8"
"R_PBbNxpYdnlgFsU9_3","2.3","3.5000000","4.7500000","0.0000","1.0000","2"
"R_3F2IgdLQxHPguO2_5","20","5.4165000","4.9062500","1.0000","0.7500","0"
"R_1DAmmWVuxekOzQt_2","20-year","3.0000000","5.5000000","0.0000","1.0000","5"
"R_3qjkVDIjECLKnKZ_5","20-year-old","2.0000000","6.0000000","0.0000","1.0000","9"
"R_1Iu8tApfebA0WZs_2","200","5.0000000","4.7678571","0.8571","0.8571","1"
"R_3qDqiG7g35x0oqN_1","2000","4.7500000","2.9375000","0.5000","0.5000","0"
"R_1eQAOZUF4OeFfld_3","2001","4.1670000","3.7500000","1.0000","0.0000","4"
"R_1mFvDu8OiiYboIA_5","2002","2.8330000","1.0000000","0.0000","0.0000","1"
"R_1PSGwxsE86F4twO_4","2006","4.8330000","6.3750000","1.0000","1.0000","2"
"R_2ASfOpichWeulMF_3","2007","1.0000000","1.6250000","0.0000","0.0000","5"
"R_10Tabapshu2tvvK_2","2008","4.6670000","6.3750000","1.0000","1.0000","3"
"R_Qc4poUG8L6xOMcV_5","2009","1.0000000","1.0000000","0.0000","0.0000","4"
"R_1OPuFFg74ePvEHb_4","2010","4.5835000","5.6250000","0.5000","1.0000","0"
"R_O8rkxaPvmC2DHTX_1","2011","4.8330000","5.3750000","1.0000","1.0000","8"
"R_1OPuFFg74ePvEHb_4","2012","5.7223333","4.7083333","1.0000","0.6667","0"
"R_PBbNxpYdnlgFsU9_3","2013","2.5000000","4.5625000","0.0000","1.0000","2"
"R_1n8frNuDYCk5bfB_2","2015","5.4666000","4.9750000","1.0000","0.8000","3"
"R_3F2IgdLQxHPguO2_4","2016","3.1668000","3.0500000","0.4000","0.4000","1"
"R_2eUtceWIPn47x8l_4","2016-2017","4.0000000","4.0000000","1.0000","1.0000","4"
"R_Cf3oaCWH23zMSdj_1","2018","5.6670000","3.0000000","1.0000","0.0000","1"
"R_3ElKNT2rbrUZYdR_2","2019","1.6670000","1.0000000","0.0000","0.0000","0"
"R_1f3fRDbsl9jD5Ww_5","2020","2.2223333","2.2916667","0.3333","0.3333","0"
"R_1LNJZAfnVTV5mcq_5","2022","4.3330000","3.6250000","1.0000","0.0000","5"
"R_3Jw9WNCBWRV66DT_1","20k","3.1670000","5.0000000","0.0000","1.0000","4"
"R_3oTOlb2UT21kncA_1","20s","5.8330000","5.7500000","1.0000","1.0000","4"
"R_Cf3oaCWH23zMSdj_1","20th","5.6670000","3.0000000","1.0000","0.0000","1"
"R_2UWRxvdzbAww1nz_4","2196","3.3330000","4.7500000","0.0000","1.0000","4"
"R_D6kCbvPIjlUSHAd_1","22","4.3330000","1.0000000","1.0000","0.0000","4"
"R_2PiZjdFX0cW00PQ_4","22-year-old","5.0000000","4.5000000","1.0000","1.0000","8"
