"message_id","feat","avg(empathy.empathy)","avg(empathy.distress)","avg(empathy.empathy_bin)","avg(empathy.distress_bin)","test_fold"
"R_yJ6wfoQV0isjWBr_4","!","3.8098305","4.1567797","0.5028","0.5480","0"
"R_2ZHUXU5dQB2meI7_5","""","3.5841429","3.8666667","0.4571","0.5524","0"
"R_PA1EeRUe6I55jgd_4","#metoo","4.3330000","6.6250000","1.0000","1.0000","6"
"R_1pERSTMtylH2tus_5","$","3.8958750","2.6406250","0.5000","0.2500","0"
"R_3Hz9m3bA6uWT3YI_2","%","3.5833000","3.3250000","0.4000","0.3000","0"
"R_3R4lpvpSZKNYUCN_3","&","3.5000000","3.5833333","0.6667","0.6667","1"
"R_3mmXh2LU82nVg96_1","'","4.2728182","3.9886364","0.6818","0.5909","1"
"R_1IRRIFlrEvyBc83_2","(","3.7340638","4.0372340","0.5319","0.5957","0"
"R_1IRRIFlrEvyBc83_2",")","3.7862609","4.0896739","0.5435","0.6087","0"
"R_sXd7G0qsBBO5rup_3","*","3.8750000","3.4375000","0.7500","0.2500","2"
"R_3rPu02mAYdW61Xg_2",",","3.7138539","3.6878995","0.4986","0.4868","0"
"R_yJ6wfoQV0isjWBr_4","-","3.9391154","3.8894231","0.5192","0.5192","0"
"R_3rPu02mAYdW61Xg_2",".","3.7185718","3.7117450","0.4987","0.4832","0"
"R_3ffqM7eI6MDHtwo_1","..","4.1539231","4.6923077","0.5385","0.7692","0"
"R_1LhyOz9jrkIJQCi_3","...","3.4770690","3.4181034","0.3793","0.5172","0"
"R_1LhyOz9jrkIJQCi_3","....","2.5555556","2.5694444","0.2222","0.3333","0"
"R_1g7VoEtxvkSjfKS_4","/","3.0000000","3.4191176","0.3529","0.5294","0"
"R_BQYbCIHSznI2RkB_1","0","4.0000000","3.6250000","1.0000","0.0000","1"
"R_2EEQioTSv70RUzF_2","0.85","5.6670000","6.1250000","1.0000","1.0000","6"
"R_1Ca4HzZe2UzxzWV_5","000","5.0000000","3.3958333","0.8333","0.5000","2"
"R_3nPMcz25sBSaaD8_3","1","4.5714286","4.6607143","0.5714","0.5714","0"
"R_2EEQioTSv70RUzF_5","1,200-","7.0000000","6.1250000","1.0000","1.0000","7"
"R_3j9u5KMZbQS89kp_2","1,800","4.0000000","3.7500000","1.0000","0.0000","2"
"R_2xIXWgIt65WqCB5_2","1.3","5.9446667","5.8750000","1.0000","1.0000","0"
"R_3Jw9WNCBWRV66DT_3","1.4","4.3330000","5.0000000","1.0000","1.0000","3"
"R_1OPuFFg74ePvEHb_2","10","4.4500000","5.2125000","0.8000","0.9000","0"
"R_ROAxUwdU6WcMHdf_1","10,000","6.0000000","5.0000000","1.0000","1.0000","5"
"R_3eaFPz1YPhmUqzt_2","10-15","1.0000000","6.0000000","0.0000","1.0000","0"
"R_3oTOlb2UT21kncA_4","10-month-old","5.6670000","5.7500000","1.0000","1.0000","2"
"R_1OPuFFg74ePvEHb_4","100","4.6060000","4.6136364","0.6364","0.7273","0"
"R_25vCdsEDRhPJ3w3_2","1000s","4.1670000","5.8750000","1.0000","1.0000","5"
"R_2xJcBbmJq6tC50y_2","101","2.8330000","4.2500000","0.0000","1.0000","4"
"R_2CEwmOXgqGtctrt_2","11","3.8335000","5.8125000","0.5000","1.0000","6"
"R_3oTOlb2UT21kncA_2","12","6.0000000","6.0000000","1.0000","1.0000","7"
"R_3oTOlb2UT21kncA_5","12-year-old","5.5000000","5.7500000","1.0000","1.0000","6"
"R_2AShlPLXEZW4TNc_3","1200","6.0556667","4.7500000","1.0000","0.6667","2"
"R_CaD7yFl7q5MrzCp_1","13","3.6665000","5.7500000","0.5000","1.0000","0"
"R_1OPuFFg74ePvEHb_4","13,000","6.2500000","6.0625000","1.0000","1.0000","0"
"R_1DZ3upqcIzFhtH3_4","13,300","5.0000000","3.6250000","1.0000","0.0000","3"
"R_1pERSTMtylH2tus_2","130","4.8890000","4.4166667","0.6667","0.6667","1"
"R_1OPuFFg74ePvEHb_2","14","3.9000000","3.9500000","0.6000","0.6000","0"
"R_5jRlP3nKHGclOFj_2","14-year-old","5.6670000","5.7500000","1.0000","1.0000","7"
"R_Cf3oaCWH23zMSdj_1","1400","5.6670000","3.0000000","1.0000","0.0000","1"
"R_qxegiSp0tG2ayxb_4","1400miles","6.5000000","5.6250000","1.0000","1.0000","4"
"R_31Et1v2rps9wNSQ_3","15","3.3335000","5.6250000","0.5000","1.0000","6"
"R_ROAxUwdU6WcMHdf_2","150","5.3330000","5.5000000","1.0000","1.0000","5"
"R_1rfDsNtkx9ueNuH_4","16","4.6670000","5.1250000","1.0000","1.0000","2"
"R_1OPuFFg74ePvEHb_4","16-year","6.2500000","6.0625000","1.0000","1.0000","0"
"R_3oTOlb2UT21kncA_5","16-year-old","5.5000000","5.7500000","1.0000","1.0000","6"
"R_OPS9EZNTzb221uF_3","17","3.3330000","3.3750000","0.0000","0.0000","2"
"R_2xJIlWl26lfyw8n_1","1750","4.5000000","5.5000000","1.0000","1.0000","5"
"R_sYY3M27k4zjwPfz_3","175lbs","7.0000000","6.7500000","1.0000","1.0000","6"
"R_3KDPGjpoRqJxdFY_1","18","3.0835000","4.4375000","0.5000","0.5000","1"
"R_3npi2r9WK3X6C5j_3","18,000","5.3330000","4.6250000","1.0000","1.0000","5"
"R_57k7MIpd4IfEJ8d_4","18-year-old","4.1670000","5.0000000","1.0000","1.0000","1"
"R_3npi2r9WK3X6C5j_3","180","5.3330000","4.6250000","1.0000","1.0000","5"
"R_b9PntTdyM0vgfbb_5","1800's","6.0000000","6.0000000","1.0000","1.0000","0"
"R_1OPuFFg74ePvEHb_4","19","6.4334000","6.1000000","1.0000","1.0000","0"
"R_1DDb7pcl8PkL7Rz_1","1925","3.0000000","4.5000000","0.0000","1.0000","6"
"R_2ASfOpichWeulMF_3","1947","1.0000000","1.6250000","0.0000","0.0000","5"
"R_3oA99lmBLFDBvnj_2","1950","7.0000000","7.0000000","1.0000","1.0000","3"
"R_SJmBO1u0DDmEZH3_2","1960","4.3330000","5.2500000","1.0000","1.0000","2"
"R_31FSDThjiQYih8p_4","1960s","1.0000000","1.0000000","0.0000","0.0000","3"
