"message_id","feat","avg(empathy.empathy)","avg(empathy.distress)","avg(empathy.empathy_bin)","avg(empathy.distress_bin)","test_fold"
"R_yJ6wfoQV0isjWBr_4","!","3.7250734","4.0847458","0.4915","0.5198","0"
"R_2ZHUXU5dQB2meI7_5","""","3.6635048","3.8392857","0.4857","0.5429","0"
"R_PA1EeRUe6I55jgd_4","#metoo","4.3330000","6.6250000","1.0000","1.0000","6"
"R_1pERSTMtylH2tus_5","$","3.8518889","3.0416667","0.5556","0.3333","0"
"R_3Hz9m3bA6uWT3YI_2","%","3.5833000","3.3375000","0.3000","0.3000","0"
"R_1rftZXLZ8DysqyC_2","&","3.5000000","3.7500000","0.5000","0.5000","3"
"R_1C9o9rzcu8JVCn9_2","'","4.2648235","3.9779412","0.6471","0.5882","3"
"R_1IRRIFlrEvyBc83_2","(","3.7814889","4.1194444","0.5111","0.6222","0"
"R_1IRRIFlrEvyBc83_2",")","3.8371364","4.1761364","0.5227","0.6364","0"
"R_sXd7G0qsBBO5rup_3","*","3.8750000","3.4375000","0.7500","0.2500","2"
"R_3rPu02mAYdW61Xg_2",",","3.7236943","3.7279881","0.5000","0.4945","0"
"R_yJ6wfoQV0isjWBr_4","-","3.8099474","3.9276316","0.4912","0.5263","0"
"R_3rPu02mAYdW61Xg_2",".","3.7159658","3.7517606","0.4970","0.4916","0"
"R_3ffqM7eI6MDHtwo_1","..","4.3485455","4.6590909","0.6364","0.8182","0"
"R_1LhyOz9jrkIJQCi_3","...","3.2552813","3.3046875","0.3438","0.4688","0"
"R_1LhyOz9jrkIJQCi_3","....","2.4000000","2.4125000","0.2000","0.3000","0"
"R_1g7VoEtxvkSjfKS_4","/","3.0926111","3.5138889","0.3889","0.5556","0"
"R_2EEQioTSv70RUzF_2","0.85","5.6670000","6.1250000","1.0000","1.0000","6"
"R_1Ca4HzZe2UzxzWV_5","000","5.1190000","3.4285714","0.8571","0.4286","2"
"R_3nPMcz25sBSaaD8_3","1","5.3332000","4.5000000","0.6000","0.6000","0"
"R_2EEQioTSv70RUzF_5","1,200-","7.0000000","6.1250000","1.0000","1.0000","7"
