"message_id","feat","avg(empathy.empathy)","avg(empathy.distress)","avg(empathy.empathy_bin)","avg(empathy.distress_bin)","test_fold"
"R_yJ6wfoQV0isjWBr_4","!","3.6335525","3.9875691","0.4751","0.5083","0"
"R_2ZHUXU5dQB2meI7_5","""","3.5408529","3.8210784","0.4510","0.5490","0"
"R_1pERSTMtylH2tus_5","$","3.9375000","3.2343750","0.5000","0.3750","0"
"R_3Hz9m3bA6uWT3YI_2","%","3.8667000","3.6500000","0.4000","0.3000","0"
"R_3R4lpvpSZKNYUCN_3","&","3.7000000","4.0000000","0.6000","0.6000","1"
"R_3mmXh2LU82nVg96_1","'","4.3492857","4.0357143","0.7143","0.6190","1"
"R_1IRRIFlrEvyBc83_2","(","4.0037955","3.9147727","0.6364","0.5682","0"
"R_1IRRIFlrEvyBc83_2",")","4.0659070","3.9680233","0.6512","0.5814","0"
"R_sXd7G0qsBBO5rup_3","*","4.8333333","4.2500000","1.0000","0.3333","2"
"R_3rPu02mAYdW61Xg_2",",","3.6972595","3.6804928","0.4973","0.4792","0"
"R_yJ6wfoQV0isjWBr_4","-","3.8398627","3.7549020","0.5294","0.4706","0"
"R_3rPu02mAYdW61Xg_2",".","3.6815477","3.6918624","0.4926","0.4752","0"
"R_3ffqM7eI6MDHtwo_1","..","4.1528333","4.7083333","0.5000","0.7500","0"
"R_1LhyOz9jrkIJQCi_3","...","3.2333667","3.1875000","0.3667","0.4333","0"
"R_1LhyOz9jrkIJQCi_3","....","2.1458750","1.5000000","0.2500","0.1250","0"
"R_1g7VoEtxvkSjfKS_4","/","3.3556000","3.3666667","0.4667","0.5333","0"
"R_BQYbCIHSznI2RkB_1","0","4.0000000","3.6250000","1.0000","0.0000","1"
"R_1Ca4HzZe2UzxzWV_5","000","5.1190000","3.4285714","0.8571","0.4286","2"
"R_3nPMcz25sBSaaD8_3","1","4.4166250","4.3281250","0.5000","0.5000","0"
"R_2EEQioTSv70RUzF_5","1,200-","7.0000000","6.1250000","1.0000","1.0000","7"
"R_1CwqF3XMcOybgIW_5","1,600","4.3330000","5.0000000","1.0000","1.0000","8"
"R_3j9u5KMZbQS89kp_2","1,800","4.0000000","3.7500000","1.0000","0.0000","2"
"R_2xIXWgIt65WqCB5_2","1.3","6.0835000","5.7500000","1.0000","1.0000","0"
"R_3Jw9WNCBWRV66DT_3","1.4","4.3330000","5.0000000","1.0000","1.0000","3"
"R_1OPuFFg74ePvEHb_2","10","4.4834000","5.2750000","0.8000","0.9000","0"
"R_ROAxUwdU6WcMHdf_1","10,000","5.5000000","5.2500000","1.0000","1.0000","5"
"R_3eaFPz1YPhmUqzt_2","10-15","1.0000000","6.0000000","0.0000","1.0000","0"
"R_3oTOlb2UT21kncA_4","10-month-old","5.6670000","5.7500000","1.0000","1.0000","2"
"R_1OPuFFg74ePvEHb_4","100","3.7120909","3.8977273","0.4545","0.5455","0"
"R_25vCdsEDRhPJ3w3_2","1000s","4.1670000","5.8750000","1.0000","1.0000","5"
"R_2xJcBbmJq6tC50y_2","101","2.8330000","4.2500000","0.0000","1.0000","4"
"R_3g5YX0YfRdSSVHx_2","11","6.6670000","6.6250000","1.0000","1.0000","7"
"R_3oTOlb2UT21kncA_2","12","6.5000000","6.5000000","1.0000","1.0000","7"
"R_2AShlPLXEZW4TNc_3","1200","6.0556667","4.7500000","1.0000","0.6667","2"
"R_1rftZXLZ8DysqyC_4","122","1.5000000","4.3750000","0.0000","1.0000","8"
"R_CaD7yFl7q5MrzCp_1","13","3.6665000","5.7500000","0.5000","1.0000","0"
"R_1OPuFFg74ePvEHb_4","13,000","6.2500000","6.0625000","1.0000","1.0000","0"
"R_1DZ3upqcIzFhtH3_4","13,300","5.0000000","3.6250000","1.0000","0.0000","3"
"R_1pERSTMtylH2tus_2","130","3.5000000","3.5000000","0.0000","0.0000","1"
"R_1OPuFFg74ePvEHb_2","14","4.6250000","4.6875000","0.7500","0.7500","0"
"R_5jRlP3nKHGclOFj_2","14-year-old","5.6670000","5.7500000","1.0000","1.0000","7"
"R_Cf3oaCWH23zMSdj_1","1400","5.6670000","3.0000000","1.0000","0.0000","1"
"R_qxegiSp0tG2ayxb_4","1400miles","6.5000000","5.6250000","1.0000","1.0000","4"
"R_1DDb7pcl8PkL7Rz_2","15","3.5000000","4.6250000","0.0000","1.0000","8"
"R_ROAxUwdU6WcMHdf_2","150","5.3330000","5.5000000","1.0000","1.0000","5"
"R_1rfDsNtkx9ueNuH_4","16","4.6670000","5.1250000","1.0000","1.0000","2"
"R_1OPuFFg74ePvEHb_4","16-year","6.2500000","6.0625000","1.0000","1.0000","0"
"R_OPS9EZNTzb221uF_3","17","3.3330000","3.3750000","0.0000","0.0000","2"
"R_2xJIlWl26lfyw8n_1","1750","4.5000000","5.5000000","1.0000","1.0000","5"
"R_3KDPGjpoRqJxdFY_1","18","3.0835000","4.4375000","0.5000","0.5000","1"
"R_3npi2r9WK3X6C5j_3","18,000","5.3330000","4.6250000","1.0000","1.0000","5"
"R_57k7MIpd4IfEJ8d_4","18-year-old","4.1670000","5.0000000","1.0000","1.0000","1"
"R_3npi2r9WK3X6C5j_3","180","5.3330000","4.6250000","1.0000","1.0000","5"
"R_b9PntTdyM0vgfbb_5","1800's","6.0000000","6.0000000","1.0000","1.0000","0"
"R_1OPuFFg74ePvEHb_4","19","6.4334000","6.1000000","1.0000","1.0000","0"
"R_2ASfOpichWeulMF_3","1947","2.3335000","3.2500000","0.0000","0.5000","5"
"R_3oA99lmBLFDBvnj_2","1950","7.0000000","7.0000000","1.0000","1.0000","3"
"R_SJmBO1u0DDmEZH3_2","1960","4.3330000","5.2500000","1.0000","1.0000","2"
"R_31FSDThjiQYih8p_4","1960s","1.0000000","1.0000000","0.0000","0.0000","3"
"R_3R4lpvpSZKNYUCN_3","1966","4.5000000","5.0000000","1.0000","1.0000","1"
"R_3qmvHJGYLWOgccV_4","1969","3.5000000","2.8750000","0.0000","0.0000","3"
"R_1eQAOZUF4OeFfld_3","1993","4.1670000","3.7500000","1.0000","0.0000","4"
"R_2pVLOa7aDX0ZdAl_2","1996","2.9170000","6.3750000","0.5000","1.0000","1"
"R_1OPuFFg74ePvEHb_4","1997","6.2500000","6.0625000","1.0000","1.0000","0"
"R_5jRlP3nKHGclOFj_4","1998","5.8330000","6.0000000","1.0000","1.0000","1"
"R_1OPuFFg74ePvEHb_4","1999","5.5000000","5.1250000","1.0000","1.0000","0"
"R_1jl9vLqdDRf4Epg_1","2","4.0416250","3.6250000","0.5625","0.5000","0"
"R_1CwqF3XMcOybgIW_5","2,000","2.6665000","3.6250000","0.5000","0.5000","8"
"R_2AShlPLXEZW4TNc_3","2-day-old","4.6670000","1.8750000","1.0000","0.0000","2"
"R_3npi2r9WK3X6C5j_5","2.2","4.3330000","4.3750000","1.0000","1.0000","8"
"R_PBbNxpYdnlgFsU9_3","2.3","3.5000000","4.7500000","0.0000","1.0000","2"
"R_3F2IgdLQxHPguO2_5","20","5.2666000","5.7500000","1.0000","0.8000","0"
"R_1DAmmWVuxekOzQt_2","20-year","3.0000000","5.5000000","0.0000","1.0000","5"
"R_3qjkVDIjECLKnKZ_5","20-year-old","2.0000000","6.0000000","0.0000","1.0000","9"
"R_1Iu8tApfebA0WZs_2","200","4.8810000","4.8392857","0.8571","0.8571","1"
"R_3qDqiG7g35x0oqN_1","2000","4.7500000","2.9375000","0.5000","0.5000","0"
"R_1eQAOZUF4OeFfld_3","2001","4.1670000","3.7500000","1.0000","0.0000","4"
"R_1mFvDu8OiiYboIA_5","2002","2.8330000","1.0000000","0.0000","0.0000","1"
"R_1pERSTMtylH2tus_3","2004","4.1670000","4.1250000","1.0000","1.0000","7"
"R_3oTOlb2UT21kncA_2","2005","6.0000000","6.0000000","1.0000","1.0000","7"
"R_1PSGwxsE86F4twO_4","2006","4.8330000","6.3750000","1.0000","1.0000","2"
"R_2ASfOpichWeulMF_3","2007","1.0000000","1.6250000","0.0000","0.0000","5"
"R_10Tabapshu2tvvK_2","2008","5.3335000","6.1875000","1.0000","1.0000","3"
"R_Qc4poUG8L6xOMcV_5","2009","1.0000000","1.0000000","0.0000","0.0000","4"
"R_1OPuFFg74ePvEHb_4","2010","4.5835000","5.6250000","0.5000","1.0000","0"
"R_O8rkxaPvmC2DHTX_1","2011","4.8330000","5.3750000","1.0000","1.0000","8"
"R_1OPuFFg74ePvEHb_4","2012","5.7223333","4.7083333","1.0000","0.6667","0"
"R_PBbNxpYdnlgFsU9_3","2013","2.5000000","4.5625000","0.0000","1.0000","2"
"R_1n8frNuDYCk5bfB_2","2015","5.2220000","5.4166667","1.0000","1.0000","3"
"R_3F2IgdLQxHPguO2_4","2016","3.5001667","3.4583333","0.5000","0.5000","1"
"R_2eUtceWIPn47x8l_4","2016-2017","4.0000000","4.0000000","1.0000","1.0000","4"
"R_Cf3oaCWH23zMSdj_1","2018","5.6670000","3.0000000","1.0000","0.0000","1"
"R_3ElKNT2rbrUZYdR_2","2019","1.6670000","1.0000000","0.0000","0.0000","0"
"R_1f3fRDbsl9jD5Ww_5","2020","2.2223333","2.2916667","0.3333","0.3333","0"
"R_1LNJZAfnVTV5mcq_5","2022","4.3330000","3.6250000","1.0000","0.0000","5"
"R_3Jw9WNCBWRV66DT_1","20k","3.1670000","5.0000000","0.0000","1.0000","4"
"R_3oTOlb2UT21kncA_1","20s","5.8330000","5.7500000","1.0000","1.0000","4"
"R_Cf3oaCWH23zMSdj_1","20th","5.6670000","3.0000000","1.0000","0.0000","1"
"R_2UWRxvdzbAww1nz_4","2196","3.3330000","4.7500000","0.0000","1.0000","4"
"R_D6kCbvPIjlUSHAd_1","22","4.3330000","1.0000000","1.0000","0.0000","4"
"R_2PiZjdFX0cW00PQ_4","22-year-old","5.0000000","4.5000000","1.0000","1.0000","8"
"R_5BjrkiX7wiiuXFn_4","220","5.8330000","2.6250000","1.0000","0.0000","3"
"R_2EougSpp1xd4X4Z_2","23","3.4165000","5.8125000","0.0000","1.0000","5"
"R_2xIXWgIt65WqCB5_4","230","3.9165000","3.8750000","0.5000","0.5000","3"
"R_3ERvdNjTrRhQlWO_3","24","5.2500000","5.0000000","1.0000","1.0000","5"
"R_2B8Px06tE3ZGxiX_5","24-hour","4.6670000","4.3750000","1.0000","1.0000","0"
"R_1pERSTMtylH2tus_5","25","4.9761429","4.8928571","0.7143","0.5714","0"
"R_1mFvDu8OiiYboIA_5","250","2.8330000","1.0000000","0.0000","0.0000","1"
"R_2AEUozhKdiOv2dz_4","25000","1.8330000","1.0000000","0.0000","0.0000","1"
"R_1LhyOz9jrkIJQCi_4","26","5.0000000","4.0000000","1.0000","0.5000","0"
"R_1DDb7pcl8PkL7Rz_2","270","3.5000000","4.6250000","0.0000","1.0000","8"
"R_5jRlP3nKHGclOFj_3","28","4.1665000","5.6875000","0.5000","1.0000","7"
"R_1LhyOz9jrkIJQCi_4","29","4.8886667","3.2083333","1.0000","0.3333","0"
"R_1CwqF3XMcOybgIW_4","2m","4.5000000","5.1250000","1.0000","1.0000","4"
"R_1FPPdbnLwSGuNfD_1","2nd","5.0000000","4.8750000","0.5000","0.5000","2"
"R_2Qya6z7Tq9vKDU6_1","3","4.1666000","3.7625000","0.5000","0.5000","0"
"R_3R4lpvpSZKNYUCN_4","3,000","4.8330000","5.2500000","1.0000","1.0000","1"
