	tokens	ratings
0	halloween	11.259841
1	bizarre	1.7095549
2	--	3.7983654
3	either	1.807471
4	morally	7.385251
5	understood	14.15096
6	millions	9.095199
7	tellers	13.80575
8	abused	7.905989
9	protect	11.183909
10	amlaner	3.768321
11	cost	8.2929535
12	bigots	8.3571825
13	ship	14.718852
14	traveled	15.8081875
15	sham	2.6767986
16	schools	11.426646
17	mutually	3.934193
18	suffering	29.219593
19	police	9.249521
20	deaths	14.855978
21	half	2.9104602
22	contamination	13.8772545
23	4	10.346203
24	stood	4.2341104
25	openly	4.6862226
26	involves	3.928538
27	called	5.422128
28	maximum	12.638424
29	consume	16.840265
30	information	11.435717
31	assaulted	16.741074
32	governor	10.481685
33	website	6.7894363
34	fact	2.1858704
35	far	2.7849908
36	rise	7.5339
37	system	9.999911
38	compared	5.4159303
39	urem	3.768321
40	bankrupt	3.7154453
41	try	2.8169045
42	mark	9.534952
43	bashed	3.721454
44	done	7.4614315
45	suffer	19.742834
46	products	9.134947
47	reasoning	3.460056
48	species	4.586684
49	antithetical	6.8631496
50	unfortunate	4.7741323
51	multiplied	15.573394
52	embraced	11.361685
53	pizza	8.30356
54	mine	6.473864
55	etc	8.731839
56	both	6.6633906
57	chemistry	8.641656
58	defend	5.8071012
59	re	11.136811
60	really	8.233988
61	free	12.287777
62	13	13.6906185
63	38	10.874725
64	helps	6.888269
65	death	19.596066
66	cheeks	11.155268
67	noted	6.944006
68	seed	7.823283
69	midst	7.924715
70	protection	13.48816
71	chile	11.788907
72	likely	4.1755223
73	they	6.240547
74	larger	8.066194
75	number	5.675778
76	certainly	2.2918642
77	empowered	15.413979
78	any	2.0164044
79	u	4.632967
80	somebody	3.3696406
81	us	13.285415
82	highly	4.8473597
83	"""."	3.768321
84	acres	13.529022
85	no	2.5075142
86	disorders	14.64066
87	beyond	3.875154
88	demanding	10.527379
89	rethink	9.938864
90	memories	19.388117
91	password	6.009193
92	bsi	13.129165
93	three	6.2708974
94	few	5.3869815
95	ll	10.439457
96	sign	4.2605457
97	ashamed	4.409586
98	agree	2.893172
99	compliant	11.598799
100	counts	5.9434323
101	ejected	12.530818
102	grooming	4.120487
103	main	7.038279
104	growth	8.961459
105	sinking	13.268735
106	attacking	5.832142
107	figure	1.8851523
108	pack	10.706395
109	2015	10.45117
110	strangest	1.8334861
111	to	7.937381
112	auto	10.58435
113	water	14.021547
114	9	9.756334
115	punished	9.104532
116	!!!	3.768321
117	rough	19.560925
118	commonly	6.7827935
119	be	3.506818
120	uprisings	13.415808
121	doubt	2.1470819
122	facilities	8.769481
123	departments	5.510883
124	distraught	16.124254
125	escapes	5.7401786
126	stuff	2.782232
127	legal	5.045034
128	raising	3.9295294
129	thier	12.595951
130	stay	3.4608483
131	progression	12.149939
132	china	6.6594033
133	deserves	6.587916
134	prostate	12.065786
135	causing	6.50868
136	ground	10.980224
137	prayer	20.354502
138	arizona	14.637968
139	every	3.5748315
140	sounds	6.8113513
141	friend	10.98799
142	allied	10.667701
143	local	8.648059
144	sadness	25.662277
145	32	10.943122
146	preference	8.267171
147	full	5.1157255
148	name	6.2276273
149	organizations	6.4472084
150	security	5.375327
151	hardest	12.410689
152	grazing	9.853612
153	bunch	1.7093768
154	mass	17.2156
155	evaluate	13.893898
156	bit	1.8519747
157	defense	5.9081736
158	birds	18.170383
159	reptiles	8.6512165
160	adapt	8.484324
161	bindi	13.349339
162	trucks	7.5517793
163	.”	3.768321
164	historical	14.438387
165	will	5.6623073
166	nonsense	1.795444
167	finish	10.999911
168	showed	5.9022284
169	over	4.4306397
170	two	4.8047433
171	recover	8.872338
172	swept	9.825871
173	reading	9.521963
174	think	3.1621528
175	distinguish	4.7948084
176	highest	9.698109
177	date	2.6651747
178	anecdotal	9.1271105
179	lethal	4.154711
180	benzodiazepines	11.9148
181	pay	3.4862728
182	peace	14.097603
183	pleased	6.579015
184	through	15.360822
185	teaching	9.040208
186	parties	4.850098
187	born	9.819255
188	on	7.0699253
189	lands	14.610314
190	damaging	4.8056874
191	developing	4.8422256
192	though	2.2643676
