	tokens	ratings
0	quants	3.051022
1	terrible	2.9557822
2	referendum	2.9864242
3	most	3.09891
4	sparkling	3.1254895
5	since	2.9712305
6	remedy	3.028664
7	also	3.1180294
8	happens	3.0361981
9	bank	3.070047
10	adopting	3.0829654
11	taxis	2.9980822
12	tu	3.0419664
13	treaty	2.9829519
14	rational	3.0431974
15	trusted	3.0748675
16	job	3.1079848
17	sammy	3.1031823
18	appreciate	3.1376553
19	foraging	3.02925
20	welchs	3.0826538
21	strung	2.9730914
22	mormons	3.0260243
23	waiting	2.9646027
24	constellation	3.0528548
25	times	2.9800246
26	algorithm	3.0935729
27	paperwork	3.0147924
28	woman	3.0109868
29	variations	3.0696998
30	watchlist	3.038891
31	dropping	2.9668663
32	weren	2.962251
33	three	3.04864
34	driver	2.9963834
35	cci	3.097393
36	apology	2.966296
37	only	3.0382104
38	recent	2.9711487
39	butter	3.0305235
40	data	3.071364
41	built	3.0902622
42	red	2.9748378
43	higher	3.0476785
44	nathan	2.9785333
45	saw	2.9638076
46	ann	3.0411053
47	could	3.0060287
48	whereas	3.0069907
49	dominants	3.0872087
50	change	3.1004963
51	810	3.0287232
52	breathtaking	3.1288743
53	robe	3.0204952
54	used	3.0261521
55	zui	3.0304022
56	doesn	3.0805752
57	say	3.1121974
58	driven	2.9711719
59	sockets	2.9833863
60	labels	3.1141005
61	weapons	2.9678154
62	asia	2.9788418
63	unheard	2.9612389
64	got	3.0924249
65	shouted	2.9714892
66	participation	3.095796
67	pluck	3.101399
68	bobby	2.978708
69	lines	3.0474586
70	increased	2.9748452
71	denver	2.9906335
72	distinct	3.0842042
73	gained	3.0619934
74	zag	3.0091784
75	13	2.9688268
76	upheld	3.0681474
77	regulate	3.0924387
78	grave	2.9544015
79	month	3.049614
80	microsoft	3.0874739
81	child	2.9738896
82	started	2.9973502
83	pure	3.1162376
84	look	3.1141944
85	tower	2.9670963
86	2001	2.9677503
87	customers	3.1489727
88	stoves	3.0153208
89	india	2.9786584
90	aide	2.9818203
91	contributed	2.97738
92	special	3.1373224
93	marmi	3.0340414
94	disaster	2.960056
95	flux	2.962701
96	audience	3.089045
97	♯	3.0279331
98	findings	3.0599935
99	training	3.069789
100	limit	3.1013582
101	weaves	3.095195
102	middle	2.9703455
103	miller	2.9686034
104	vibration	2.984233
105	federation	3.080086
106	called	3.071369
107	slipped	2.9539838
108	homes	2.9811862
109	tool	3.122967
110	decal	3.083844
111	presents	3.1170502
112	movement	3.008203
113	ignored	2.9562428
114	perhaps	2.9718263
115	55	2.9805877
116	consume	3.0962324
117	catcher	3.0748484
118	cabins	2.997929
119	sentence	2.975501
120	charred	2.9540255
121	minded	3.0671766
122	active	3.0848505
123	paying	3.056704
124	associated	3.0052552
125	badly	2.9556122
126	emerging	2.9748654
127	book	3.1127634
128	similar	2.9897635
129	famous	3.0552833
130	34	2.9682963
131	staying	2.998948
132	swampland	2.965373
133	suit	3.0847843
134	bay	2.9821835
135	shirt	3.1014175
136	neared	2.9543123
137	head	2.973756
138	rick	2.9857843
139	dissipate	2.9551463
140	interesting	3.088399
141	ged	2.9678535
142	bathing	2.9770448
143	biggest	3.119682
144	brand	3.1232975
145	mgm	3.0924065
146	9	2.9695456
147	respective	3.0688229
148	kayaking	3.0839894
149	temperature	2.986527
150	fledged	3.022197
151	architectonic	3.0625703
152	6	2.9912345
153	982	2.9782736
154	chapter	3.0613549
155	america	3.0378902
156	hit	2.9861534
157	pleasantly	3.0300107
158	trains	2.9650745
159	station	2.992885
160	working	3.103726
161	scope	3.0815165
162	bureaucratic	2.9586565
163	robot	3.0268054
164	content	3.117069
165	point	3.0567815
166	same	3.0403914
167	your	3.1770551
168	elements	3.060775
169	tradition	3.092607
170	"""?"	3.0826538
171	privileges	3.0841522
172	allows	3.1478786
173	off	3.0920975
174	breeze	3.0395465
175	sep	2.980246
176	tiger	2.9820023
177	feelings	2.956175
178	destroyed	2.9554682
179	folk	3.030322
180	fired	2.961108
181	smell	2.9843624
182	danger	2.955336
183	favors	3.1025312
184	size	3.0543394
185	money	3.1422
186	bestowed	3.0434816
187	cadman	3.0331624
188	award	3.1425498
189	innovative	3.155573
190	fully	3.0742106
191	evading	2.956903
192	lovers	3.1103911
193	restore	3.1162665
194	potentially	3.0395432
195	voters	3.07451
196	ah	2.999985
197	parents	3.029168
198	sky	2.962898
199	spices	3.0383513
200	become	3.0487466
201	panes	2.9657478
202	division	3.0234852
203	1998	2.9788697
204	hardly	2.9816637
205	deductible	3.054795
206	body	2.9691548
207	membership	3.1297412
208	orion	3.0234783
209	sparrow	2.9556634
210	hundred	3.0002053
211	building	3.0188053
212	tackle	3.1208053
213	took	2.9865987
214	teenagers	2.983069
215	travel	3.0431378
216	adding	3.1280317
217	night	2.9768794
218	incidents	2.956551
219	presented	3.0849707
220	average	2.9965792
221	buried	2.9544113
222	baby	3.0266275
223	support	3.1362634
224	hut	2.9581406
225	assistant	3.0267963
226	uprooted	2.9528785
227	popularity	2.9727557
228	reputation	3.0734656
229	pound	3.01332
230	plenipotentiary	2.9987338
231	fail	2.9882712
232	1990s	2.9659767
233	usher	3.0635545
234	dublin	3.015546
235	sweetened	3.0299964
236	teasing	2.9817493
237	versions	3.066441
238	profound	2.9823184
239	nodded	2.958076
240	descending	2.958158
241	peak	3.028349
242	calves	2.9829404
243	pulled	2.9656482
244	hopeless	2.956059
245	distinctions	3.0478003
246	iland	3.1167486
247	brad	3.0503283
248	whale	3.000968
249	"'?"""	3.0826538
250	personnel	2.9753916
251	simplicity	3.1150682
252	opponents	3.0559587
253	bp	3.0221896
254	houses	2.9835625
255	handled	3.0006864
256	reaching	3.0104928
257	skating	2.9897587
258	ray	2.9608824
259	gold	3.0605934
260	nov	2.9710157
261	caused	2.951851
262	didn	2.9701326
263	owns	3.095477
264	oshkosh	3.0773816
265	then	3.057478
266	trade	3.0813913
267	wholesaler	3.1012576
268	130	2.9972923
269	accepting	3.0248597
270	nardo	2.9799771
271	journals	3.030807
272	partner	3.130469
273	different	3.0568397
274	inaugural	3.140123
275	fat	3.0041404
276	memorial	2.9614916
277	500	3.0790632
278	free	3.1428642
279	facelift	3.0371945
280	registration	3.0446799
281	68	2.9726253
282	caviar	3.100048
283	seed	3.0311375
284	/	2.9916372
285	30am	3.0008621
286	this	3.1007736
287	bogs	2.9662428
288	influence	2.9777963
289	mountainous	2.958571
290	west	2.9620807
291	toward	3.0091171
292	faery	2.9749238
293	slipping	2.9557996
294	hats	3.086814
295	critics	3.0698547
296	lot	3.0834143
297	chemicals	2.984357
298	beirut	3.0112648
299	profit	3.1029751
300	appered	2.9539022
301	dates	3.0103865
302	rarely	3.0353034
303	serpant	2.9573884
304	crueler	2.9557157
305	youtube	3.0408053
306	paper	3.0637224
307	flatly	2.9754453
308	discrimination	3.0579174
309	tube	3.0168464
310	vista	3.0486155
311	hypocrisy	3.0259893
312	color	3.1140285
313	choice	3.1358533
314	november	2.9720438
315	leadership	3.0292265
316	motive	2.972124
317	removed	2.9628994
318	play	3.148239
319	commerce	3.0683317
320	pass	3.093155
321	edge	3.036925
322	behavior	3.0111737
323	forms	3.054253
324	commission	3.0530453
325	magic	3.070264
326	side	3.0102077
327	poison	2.9598672
328	lowest	3.056821
329	selling	3.0946393
330	assert	3.1298392
331	found	2.9893456
332	owners	3.0909042
333	huaisheng	3.0826538
334	bisnis	3.068559
335	information	3.0807025
336	staggering	2.9659007
337	style	3.1228487
338	bred	2.991064
339	ants	2.9822378
340	tried	2.9708521
341	these	3.1057076
342	07	3.030329
343	indeed	2.996178
344	logarithmized	3.0826538
345	11	2.9663904
346	readers	3.1332366
347	responsible	3.058271
348	escalator	2.959144
349	landmarks	2.9946423
350	cover	3.0150719
351	a	3.1082535
352	chronic	2.96054
353	soon	2.9822726
354	levels	3.0636208
355	340	3.0350108
356	internet	3.074788
357	resources	3.12446
358	dollars	3.0705845
359	adrienne	3.050658
360	protection	3.0822752
361	ways	3.111433
362	alive	2.969251
363	h	2.9927619
364	television	3.0209963
365	normal	2.9893115
366	heads	2.9849615
367	outbreak	2.9548333
368	administrative	3.0234582
369	indian	2.9982157
370	sex	3.063726
371	explores	3.017805
372	seeds	3.0243716
373	certificate	3.129528
374	;	3.0094223
375	expects	3.1150854
376	arts	3.0875525
377	burglars	2.9677439
378	sold	2.9956446
379	slow	2.9587352
380	enough	3.049503
381	affairs	2.9712818
382	signs	2.9710107
383	grabbed	3.0008416
384	tenth	2.994136
385	ill	2.9560297
386	vermont	3.036385
387	explosively	3.0074375
388	29	2.9664967
389	12	2.9797416
390	unprecedented	3.100739
391	ballot	3.0224564
392	napped	2.9613051
393	wondering	2.9552321
394	enjoy	3.1954627
395	face	2.9671183
396	bidding	3.0208392
397	members	3.09584
398	google	3.0829284
399	realizes	2.9753177
400	dubai	3.0450103
401	cap	3.0875351
402	happen	3.013367
403	suffocate	2.9548202
404	notes	3.0264568
405	tainted	2.9586115
406	doorframe	2.9551573
407	our	3.1402931
408	ethic	3.134789
409	tendered	2.9675665
410	glorious	3.0740561
411	reupke	3.0826538
412	pushing	3.0571122
413	missing	2.9567976
414	xbox	3.081792
415	strip	3.1010854
416	war	2.960273
417	natives	2.9746857
418	raised	2.9671664
419	essay	3.0613408
420	zone	3.0191026
421	whose	2.9638038
422	kids	3.160605
423	freedom	3.11191
424	baited	2.9726384
425	rhythm	3.0692756
426	sands	2.9627938
427	audit	3.0766244
428	multiple	3.0614567
429	sober	2.99584
430	niang	2.9976523
431	natural	3.1329184
432	sensuous	3.0779135
433	buddies	3.1339412
434	are	3.0866258
435	window	2.969627
436	hat	3.0583537
437	papers	3.035476
438	equivalent	3.0736172
439	exposition	3.023642
440	documentary	3.093315
441	spreading	2.9993026
442	mom	3.0335553
443	regional	3.0812955
444	sunk	2.9528353
445	statesman	2.9762251
446	onions	2.9682305
447	jobs	3.0837188
448	advisory	2.98686
449	bothered	2.957672
450	blueprint	3.117122
451	manhattan	3.0044134
452	hypothesis	3.0386596
453	meaningful	3.1376152
454	fed	2.9910502
455	code	3.0959604
456	folders	3.1004548
457	apologized	2.9597657
458	hall	2.9631207
459	bar	3.0821702
460	domain	3.077486
461	gifts	3.0871801
462	features	3.1214843
463	alleged	2.958216
464	he	2.9894469
465	towered	2.9563894
466	officers	2.9725754
467	kong	3.0752769
468	editing	3.1038773
469	100	3.1106825
470	450	3.0891259
471	left_ip	3.0826538
472	exit	2.9633055
473	vogue	3.046554
474	mission	3.1117697
475	majestic	3.0516148
476	use	3.1301665
477	ali	3.0449314
478	unveils	3.1038578
479	reading	3.089831
480	tailor	3.1252177
481	boundaries	3.0602558
482	020	3.0621438
483	finally	3.043158
484	acknowledged	2.985074
485	breathing	2.9595459
486	others	3.0289345
487	coupon	3.120838
488	anyway	3.0345268
489	stare	2.9573624
490	fucked	2.9674883
491	july	2.9834032
492	determined	2.9860122
493	referrals	3.1288888
494	i	3.1174388
495	into	3.0428476
496	dow	2.974993
497	persuade	3.0952435
498	sound	3.0701761
499	became	2.9613578
500	regulations	2.991766
501	permanent	3.020317
502	mentions	2.96695
503	appalachian	3.019606
504	jeanminette	3.0826538
505	fellow	3.0128067
506	probe	2.9823244
507	torricelli	3.0826538
508	fix	3.0647674
509	form	3.0862668
510	ashamed	2.958263
511	vienna	2.9911
512	but	2.9932785
513	interests	3.1208234
514	singled	2.9864838
515	pockets	3.0370505
516	students	3.1012528
517	sincerely	3.0734296
518	right_ip	3.0826538
519	need	3.1386755
520	earned	3.1500502
521	union	3.0699325
522	).	3.0826538
523	ride	3.1226037
524	native	3.0323799
525	credibility	3.0564227
526	patterns	3.0586643
527	industrial	2.9946873
528	want	3.1598415
